"title","vote_average","vote_count","budget","movie_id","genres_type","genres_id","original_language","popularity","release_date","revenue","runtime.mins.","ROI"
"The General's Daughter",61,205,60000000,2275,"Crime",80,"en",18345613,"1999-06-18",149705852,116,149.509753333333
"A Civil Action",61,109,70000000,9422,"Drama",18,"en",10147321,"1998-03-05",56702901,115,-18.9958557142857
"The Jackal",61,527,60000000,4824,"Action",28,"en",19747459,"1997-11-14",159330280,124,165.550466666667
"Star Trek: Nemesis",61,479,60000000,201,"Science Fiction",878,"en",21605533,"2002-12-13",67312826,117,12.1880433333333
"Dragonfly",61,204,60000000,10052,"Drama",18,"en",8927137,"2002-02-22",52322400,104,-12.796
"The Internship",61,1658,58000000,116741,"Comedy",35,"en",1551497,"2013-06-07",4.4e+07,119,-24.1379310344828
"Flightplan",61,772,55000000,9315,"Thriller",53,"en",3205145,"2005-09-22",223387299,98,306.158725454545
"Tango & Cash",61,458,55000000,9618,"Action",28,"en",22787667,"1989-12-22",63408614,104,15.2883890909091
"Gods and Generals",61,48,56000000,16072,"Drama",18,"en",4362535,"2003-02-21",12923936,214,-76.9215428571429
"Elizabethtown",61,327,57000000,9621,"Comedy",35,"en",22894898,"2005-10-06",52034889,123,-8.71072105263158
"From Paris with Love",61,675,52000000,26389,"Action",28,"en",27916284,"2010-02-05",52826594,92,1.58960384615385
"Me, Myself & Irene",61,927,51000000,2123,"Comedy",35,"en",39001682,"2000-06-22",149270999,116,192.688233333333
"American Reunion",61,1611,50000000,71552,"Comedy",35,"en",39920035,"2012-04-04",234989584,113,369.979168
"Resident Evil: Apocalypse",61,1267,45000000,1577,"Horror",27,"en",29880122,"2004-09-10",129394835,94,187.544077777778
"Bridget Jones: The Edge of Reason",61,750,50000000,9801,"Comedy",35,"en",28803802,"2004-11-10",40203020,108,-19.59396
"Out of Time",61,298,50000000,2116,"Thriller",53,"en",14993459,"2003-10-03",55495563,105,10.991126
"Blood Work",61,206,50000000,9573,"Crime",80,"en",10089065,"2002-08-04",26199517,110,-47.600966
"Child 44",61,547,50000000,181283,"Crime",80,"en",40371098,"2015-03-15",3324330,137,-93.35134
"Taken 3",61,2200,48000000,260346,"Thriller",53,"en",88844777,"2014-12-16",325771424,109,578.690466666667
"Taken 2",61,2757,45000000,82675,"Action",28,"en",49353524,"2012-09-27",376141306,91,735.869568888889
"Miss Congeniality",61,961,45000000,1493,"Comedy",35,"en",32624355,"2000-12-14",2.12e+08,111,371.111111111111
"Resident Evil: Extinction",61,1292,45000000,7737,"Horror",27,"en",1206538,"2007-09-20",148412065,94,229.804588888889
"Cellular",61,537,25000000,9759,"Action",28,"en",24459948,"2004-09-06",56422687,94,125.690748
"The Producers",61,151,45000000,9899,"Comedy",35,"en",6803965,"2005-12-25",38058335,134,-15.4259222222222
"High Crimes",61,184,42000000,11560,"Drama",18,"en",14046705,"2002-04-03",63781810,115,51.8614523809524
"The Mothman Prophecies",61,305,32000000,2637,"Drama",18,"en",14733513,"2002-01-25",55157539,119,72.367309375
"The Interview",61,2304,44000000,228967,"Action",28,"en",74168016,"2014-12-25",12342632,112,-71.9485636363636
"Ride Along 2",61,555,40000000,323675,"Action",28,"en",25136082,"2016-01-14",124827316,102,212.06829
"17 Again",61,1350,20000000,16996,"Comedy",35,"en",52571674,"2009-03-11",136267476,102,581.33738
"Horrible Bosses 2",61,1536,42000000,227159,"Comedy",35,"en",82185281,"2014-11-26",107670357,108,156.357992857143
"Scream 4",61,902,40000000,41446,"Horror",27,"en",3521926,"2011-04-11",97138686,111,142.846715
"8MM",61,474,40000000,8224,"Thriller",53,"en",25580272,"1999-02-26",96618699,123,141.5467475
"Morning Glory",61,412,40000000,38357,"Comedy",35,"en",22491388,"2010-01-12",58785180,102,46.96295
"Blue Streak",61,352,65000000,11001,"Action",28,"en",16865782,"1999-09-17",117758500,93,81.1669230769231
"Flash Gordon",61,233,35000000,3604,"Science Fiction",878,"en",12343507,"1980-09-01",27107960,111,-22.5486857142857
"The Punisher",61,766,33000000,7220,"Action",28,"en",35099611,"2004-04-15",54700105,124,65.7578939393939
"Big Daddy",61,875,34200000,9032,"Comedy",35,"en",3486859,"1999-06-25",234801895,93,586.555248538012
"Ace Ventura: When Nature Calls",61,1099,30000000,9273,"Crime",80,"en",34391792,"1995-11-10",212385533,90,607.951776666667
"27 Dresses",61,978,30000000,6557,"Comedy",35,"en",30695228,"2008-01-10",160259319,111,434.19773
"Along Came a Spider",61,400,60000000,2043,"Crime",80,"en",21252797,"2001-04-06",105178561,104,75.2976016666667
"Zoolander",61,1337,28000000,9398,"Comedy",35,"en",380958,"2001-09-28",60780981,89,117.074932142857
"No Reservations",61,327,28000000,3638,"Comedy",35,"en",15794946,"2007-07-25",92601050,104,230.718035714286
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",61,493,28000000,218778,"Family",10751,"en",2214595,"2014-10-08",100654149,81,259.479103571429
"Case 39",61,563,27000000,28355,"Horror",27,"en",23917982,"2009-08-13",2.9e+07,109,7.40740740740741
"Pain & Gain",61,1573,25000000,134374,"Thriller",53,"en",31893932,"2013-04-18",86175291,130,244.701164
"The Raven",61,426,26000000,70436,"Crime",80,"en",22520842,"2012-03-09",29657751,111,14.0682730769231
"W.",61,143,25100000,10523,"Drama",18,"en",10445391,"2008-10-17",29506464,131,17.5556334661355
"The Bodyguard",61,661,25000000,619,"Thriller",53,"en",26576385,"1992-11-25",411006740,129,1544.02696
"Ride Along",61,853,25000000,168530,"Action",28,"en",28468,"2014-01-07",153997819,99,515.991276
"No Strings Attached",61,1331,25000000,41630,"Comedy",35,"en",38688822,"2011-01-21",147780440,107,491.12176
"Hide and Seek",61,440,25000000,11096,"Horror",27,"en",18228538,"2005-01-27",122644820,101,390.57928
"Contraband",61,770,25000000,77866,"Thriller",53,"en",31364901,"2012-01-12",63100000,109,152.4
"Mr. Bean's Holiday",61,663,25000000,1268,"Family",10751,"en",27683874,"2007-03-22",229736344,90,818.945376
"Stop-Loss",61,82,25000000,8988,"Drama",18,"en",4002579,"2008-03-28",11207130,113,-55.17148
"Scream 2",61,840,24000000,4233,"Horror",27,"en",35244037,"1997-12-09",172363301,120,618.180420833333
"Return to Me",61,67,24000000,2621,"Romance",10749,"en",5771479,"2000-04-07",36609995,115,52.5416458333333
"Zack and Miri Make a Porno",61,721,24000000,10358,"Comedy",35,"en",27326466,"2008-09-18",42105111,102,75.4379625
"Faster",61,568,24000000,41283,"Crime",80,"en",26324874,"2010-11-23",23081726,98,-3.82614166666667
"Harley Davidson and the Marlboro Man",61,82,23000000,2453,"Action",28,"en",12869436,"1991-08-23",7434726,98,-67.6751043478261
"Derailed",61,319,22000000,8999,"Drama",18,"en",177091,"2005-11-11",57479076,108,161.268527272727
"The Little Vampire",61,77,22000000,24100,"Family",10751,"en",4365196,"2000-10-27",13555988,95,-38.3818727272727
"Beverly Hills Cop II",61,613,20000000,96,"Action",28,"en",2528436,"1987-05-18",299965036,100,1399.82518
"Why Did I Get Married Too?",61,29,20000000,35688,"Comedy",35,"en",2986286,"2010-04-02",60072596,121,200.36298
"Return to Never Land",61,290,20000000,16690,"Adventure",12,"en",15341196,"2002-02-14",109862682,72,449.31341
"The Black Hole",61,131,20000000,9570,"Adventure",12,"en",8265317,"1979-12-18",35841901,98,79.209505
"One Night with the King",61,12,20000000,15005,"Drama",18,"en",3476925,"2006-10-13",13391174,123,-33.04413
"Undisputed",61,139,20000000,15070,"Action",28,"en",17227376,"2002-08-23",12398628,96,-38.00686
"The Frozen Ground",61,465,27220000,199373,"Thriller",53,"en",28060472,"2013-07-18",5496951,105,-79.8054702424688
"A Cinderella Story",61,713,19000000,11247,"Comedy",35,"en",2528132,"2004-07-10",70067909,95,268.778468421053
"Legally Blonde",61,882,18000000,8835,"Comedy",35,"en",2543954,"2001-07-13",141774679,96,687.637105555556
"The Hills Have Eyes",61,705,15000000,9792,"Horror",27,"en",35107857,"2006-03-10",69623713,107,364.158086666667
"Escobar: Paradise Lost",61,271,17000000,255343,"Thriller",53,"en",25112567,"2014-10-11",3758328,120,-77.8921882352941
"Why Did I Get Married?",61,33,15000000,17202,"Comedy",35,"en",2005111,"2007-10-12",55184721,113,267.89814
"The Woman in Black",61,1206,17000000,65086,"Drama",18,"en",43675191,"2012-02-01",127730736,95,651.357270588235
"Because of Winn-Dixie",61,61,14000000,17880,"Comedy",35,"en",3334804,"2005-02-18",32645546,106,133.182471428571
"Flicka",61,52,15000000,14012,"Drama",18,"en",3043589,"2006-10-20",2.1e+07,95,40
"Idle Hands",61,182,25000000,6552,"Thriller",53,"en",8583217,"1999-04-30",4152230,92,-83.39108
"All The Queen's Men",61,7,15000000,31668,"Action",28,"en",1833058,"2001-10-14",23000,990,-99.8466666666667
